cauhoi,traloi
"Nội dung câu hỏi:
Kính gửi cơ quan BHXH.
Tôi tên Trần Ngọc Hoàng, sinh ngày 02/08/1990. Căn cước công dân số: 079090010684, số BHXH: 7912010231.
Tôi có tham gia đóng BHXH từ năm 2012 đến tháng 8/2020 thì nghỉ việc đến nay không đóng BHXH nữa. Tra cứu trên app VSSID thì tôi được cơ quan cũ đóng BHXH đến tháng 6/2020, tháng 7&8/2020 tôi không được đóng. Quyết định nghỉ việc của tôi có hiệu lực vào ngày 15/8/2020.
Vậy cho tôi hỏi, căn cứ theo tra cứu trên VSSID thì tôi có thể nộp hồ sơ nhận BHXH 1 lần được chưa hay phải chờ tới đúng ngày nghỉ việc là 15/8/2020. Và cho tôi hỏi tôi sẽ nhận được bao nhiêu tiền, thời gian giải nhận được tiền sau khi đủ hồ sơ là bao lâu.
Xin cảm ơn.","Câu trả lời:
Về điều kiện hưởng BHXH một lần
 
Tại Khoản 1, Điều 8 Nghị định số 115/2015/NĐ-CP ngày 11/11/2015 của Chính phủ quy định người lao động mà có yêu cầu thì được hưởng BHXH một lần nếu thuộc một trong các trường hợp sau đây:
 
a) Đủ tuổi hưởng lương hưu theo quy định tại các Khoản 1, 2 và 4 Điều 54 của Luật BHXH mà chưa đủ 20 năm đóng BHXH hoặc theo quy định tại Khoản 3 Điều 54 của Luật BHXH mà chưa đủ 15 năm đóng BHXH và không tiếp tục tham gia BHXH tự nguyện;
 
b) Sau một năm nghỉ việc mà chưa đủ 20 năm đóng BHXH và không tiếp tục đóng BHXH;
 
c) Ra nước ngoài để định cư;
 
d) Người đang bị mắc một trong những bệnh nguy hiểm đến tính mạng như ung thư, bại liệt, xơ gan cổ chướng, phong, lao nặng, nhiễm HIV đã chuyển sang giai đoạn AIDS và những bệnh khác theo quy định của Bộ Y tế.
 
* Về mức hưởng BHXH một lần
 
Tại Khoản 2, Điều 60 Luật Bảo hiểm xã hội năm 2014 về bảo hiểm xã hội một lần quy định: “Mức hưởng bảo hiểm xã hội một lần được tính theo số năm đã đóng bảo hiểm xã hội, cứ mỗi năm được tính như sau:
 
- 1,5 tháng mức bình quân tiền lương tháng đóng bảo hiểm xã hội cho những năm đóng trước năm 2014;
 
- 02 tháng mức bình quân tiền lương tháng đóng bảo hiểm xã hội cho những năm đóng từ năm 2014 trở đi;
 
- Trường hợp thời gian đóng bảo hiểm xã hội chưa đủ một năm thì mức hưởng bảo hiểm xã hội bằng số tiền đã đóng, mức tối đa bằng 02 tháng mức bình quân tiền lương tháng đóng bảo hiểm xã hội”.
 
* Về giải quyết hưởng lương hưu, bảo hiểm xã hội một lần
 
Tại Khoản 4, Điều 110 Luật Bảo hiểm xã hội năm 2014 về giải quyết hưởng lương hưu, bảo hiểm xã hội một lần quy định như sau:
 
“Trong thời hạn 20 ngày kể từ ngày nhận đủ hồ sơ theo quy định đối với người hưởng lương hưu hoặc trong thời hạn 10 ngày, kể từ ngày nhận đủ hồ sơ theo quy định đối với trường hợp hưởng bảo hiểm xã hội một lần, cơ quan bảo hiểm xã hội có trách nhiệm giải quyết và tổ chức chi trả cho người lao động; trường hợp không giải quyết thì phải trả lời bằng văn bản và nêu rõ lý do”.
 
Nếu bạn đã đáp ứng đủ điều kiện theo quy định của pháp luật nêu trên, bạn có quyền lựa chọn rút BHXH một lần bất kể thời điểm nào căn cứ vào nhu cầu thực tế của bạn. Trường hợp bạn không lựa chọn rút BHXH một lần thì được bảo lưu thời gian đóng BHXH, đến khi bạn đi làm lại và tiếp tục đóng BHXH thì sẽ được cộng nối thời gian đóng BHXH.
 
BHXH Việt Nam cung cấp thông tin để bạn tham khảo. Đề nghị bạn liên hệ với cơ quan BHXH tại địa phương để được hướng dẫn cụ thể."
"Nội dung câu hỏi:
Mình làm cong ty từ Tháng 6-2015 đến 6-2016 thì mình nghĩ việc và ở nhà cho đến nay (công ty đã trả lại sổ BHXH nhưg mìh đã bị lạc mất sổ ạ). Năm 2018 đến 2019  mình có đky mua BHYT theo hộ G.đ. mình kiêm tra trên ứng dụng VSSID thì chỉ thấy số BHXH trên Thẻ BHYT và không tìm thấy quá trình tham gia BHXH lúc trước làm công ty. Bây giờ mình muôn rút BHXH 1 lần thì cần phãi làm gi? Họ vs tên: lê nguyễn phương phương cmnd: 025434291","Câu trả lời:
* Về hồ sơ hưởng BHXH một lần
 
Điều 109 Luật BHXH năm 2014 quy định hồ sơ hưởng BHXH một lần, bao gồm: Bản chính Sổ BHXH và Đơn đề nghị hưởng BHXH một lần.
 
BHXH Việt Nam cung cấp thông tin để bạn nắm được, đề nghị bạn liên hệ trực tiếp cơ quan BHXH nơi đã nộp hồ sơ hoặc liên hệ đến Tổng đài chăm sóc khách hàng của BHXH Việt Nam số 1900.9068 hoặc số 024 37899999 (giờ hành chính) để được hỗ trợ"
"Nội dung câu hỏi:
 Em là gv mầm non đang mang thai, dự sinh t12.2021. Số sổ là 7916226889, mã đơn vị NB0011B trường Mầm non Nụ Cười Hồng. Từ t6.2020 em xin nghỉ đã lãnh thất nghiệp. T1.2021 trường báo tăng do em xin vô làm lại. T2 nghỉ ko lương ( do dịch), đã đóng t3+4. T5 nghỉ ko lương (do dịch). đối với trường hợp của em thì có đủ điều kiện hưởng bh thai sản không ạ? trường hợp không đủ em có thể đóng thêm bh tự nguyện không?","Câu trả lời:
Khoản 1, 2, điều 31, Luật Bảo hiểm xã hội 2014 quy định về điều kiện hưởng chế độ thai sản như sau:
 
“1. Người lao động được hưởng chế độ thai sản khi thuộc một trong các trường hợp sau đây:
 
a) Lao động nữ mang thai;
 
b) Lao động nữ sinh con;
 
c) Lao động nữ mang thai hộ và người mẹ nhờ mang thai hộ;
 
d) Người lao động nhận nuôi con nuôi dưới 06 tháng tuổi;
 
đ) Lao động nữ đặt vòng tránh thai, người lao động thực hiện biện pháp triệt sản;
 
e) Lao động nam đang đóng bảo hiểm xã hội có vợ sinh con.
 
2. Người lao động quy định tại các điểm b, c và d khoản 1 Điều này phải đóng bảo hiểm xã hội từ đủ 06 tháng trở lên trong thời gian 12 tháng trước khi sinh con hoặc nhận nuôi con nuôi.”
 
          Khoản 1, điều 9, Thông tư 59/TT-BLĐTBXH ngày 29/12/20155 hướng dẫn chi tiết về điều kiện hưởng chế độ thai sản như sau:
 
 “Thời gian 12 tháng trước khi sinh con hoặc nhận nuôi con nuôi được xác định như sau:
 
a) Trường hợp sinh con hoặc nhận nuôi con nuôi trước ngày 15 của tháng, thì tháng sinh con hoặc nhận nuôi con nuôi không tính vào thời gian 12 tháng trước khi sinh con hoặc nhận nuôi con nuôi.
 
b) Trường hợp sinh con hoặc nhận nuôi con nuôi từ ngày 15 trở đi của tháng và tháng đó có đóng bảo hiểm xã hội, thì tháng sinh con hoặc nhận nuôi con nuôi được tính vào thời gian 12 tháng trước khi sinh con hoặc nhận nuôi con nuôi. Trường hợp tháng đó không đóng bảo hiểm xã hội thì thực hiện theo quy định tại điểm a khoản này.”
 
          Như vậy, nếu bạn tham gia BHXH bắt buộc từ đủ 06 tháng trở lên trong thời gian 12 tháng trước khi sinh con thì bạn mới đủ điều kiện hưởng chế độ thai sản. Chế độ thai sản là chế độ BHXH bắt buộc nên nếu bạn tham gia BHXH tự nguyện bạn sẽ không thuộc đối tượng được chi trả chế độ này vì chế độ BHXH tự nguyện chỉ gồm 2 chế độ là hưu trí và tử tuất."
"Nội dung câu hỏi:
Xin chào anh/chị
Tôi nghỉ hưởng chế độ thai sản 6 tháng bắt đầu từ ngày 10/1-09/7/2022, đi làm trở lại ngày 11/7/2022
Ngày 12/7, tôi thấy mệt mỏi nên xin giấy nghỉ ốm từ 12/7-18/7, sau đó tôi làm đơn xin nghỉ chế độ dưỡng sức sau thai sản luôn để khỏi nghỉ gián đoạn sau khi đi làm lại, từ ngày 19/7 đến hết ngày 25/7 (7 ngày đối với sinh con phẫu thuật).
Như vậy trong tháng 7 do chưa hết thời gian nghỉ thai sản, sau đó tôi lại nghỉ ốm và nghỉ dưỡng sức sau thai sản nên tôi không đóng BHXH trong tháng.
Vậy trường hợp của tôi có được giải quyết đồng thời chế độ ốm đau, và chế độ dưỡng sức sau thai sản hay không? 
Xin chân thành cảm ơn","Câu trả lời:
- Khoản 1 Điều 25 Luật BHXH năm 2014 quy định điều kiện hưởng chế độ
 ốm đau như sau: “Bị ốm đau, tai nạn mà không phải là tai nạn lao động phải nghỉ
 việc và có xác nhận của cơ sở khám bệnh, chữa bệnh có thẩm quyền theo quy định
 của Bộ Y tế”.
 - Khoản 1 Điều 41 Luật BHXH năm 2014 quy định trợ cấp dưỡng sức phục
 hồi sức khoẻ sau thai sản như sau: “Lao động nữ ngay sau thời gian hưởng chế độ
 thai sản theo quy định, trong khoảng thời gian 30 ngày đầu làm việc mà sức khoẻ
 chưa phục hồi thì được nghỉ dưỡng sức, phục hồi sức khoẻ từ 05 ngày đến 10 ngày”.
 Đối chiếu với các quy định về điều kiện hưởng chế độ ốm đau, trường hợp của
 Bạn bị ốm phải nghỉ việc từ ngày 12/7/2022 đến 18/7/2022 nếu có giấy xác nhận của
 cơ sở khám bệnh, chữa bệnh có thẩm quyền theo quy định của Bộ Y tế thì Bạn đủ
 điều kiện hưởng chế độ ốm đau theo quy định, trong khoảng thời gian 30 ngày đầu
 làm việc sau thời gian hưởng chế độ thai sản mà sức khoẻ của Bạn chưa phục hồi thì
 được nghỉ dưỡng sức, phục hồi sức khỏe, số ngày nghỉ dưỡng sức phục hồi sức khỏe
 do người sử dụng lao động và Ban chấp hành công đoàn cơ sở nơi bạn đang làm việc
 quyết định. Trường hợp chưa thành lập công đoàn cơ sở thì do người sử dụng lao
 động quyết định.
 BHXH Việt Nam cung cấp các quy định về chế độ ốm đau, thai sản và dưỡng
 sức, phục hồi sức khỏe để Bạn được biết"
"Nội dung câu hỏi:
Vừa rồi em có làm giấy tờ BHXH 1 lần và được anh nhân viên báo lại là sau khi em nhận BHXH 1 lần xong, em được hưởng thêm 2 tháng BHTN nữa . Cho em hỏi là em phải tới đâu để làm hồ sơ hưởng BHTN như anh nhân viên nói .","Câu trả lời:
* Về điều kiện hưởng bảo hiểm thất nghiệp
 
Theo quy định tại Điều 49 Luật Việc làm số 38/2013/QH13 thì người lao động đang đóng bảo hiểm thất nghiệp được hưởng trợ cấp thất nghiệp khi có đủ các điều kiện sau đây:
 
1. Chấm dứt hợp đồng lao động hoặc hợp đồng làm việc, trừ các trường hợp sau đây:
 
a) Người lao động đơn phương chấm dứt hợp đồng lao động, hợp đồng làm việc trái pháp luật;
 
b) Hưởng lương hưu, trợ cấp mất sức lao động hằng tháng;
 
2. Đã đóng bảo hiểm thất nghiệp từ đủ 12 tháng trở lên trong thời gian 24 tháng trước khi chấm dứt hợp đồng lao động hoặc hợp đồng làm việc đối với trường hợp quy định tại điểm a và điểm b khoản 1 Điều 43 của Luật này; đã đóng bảo hiểm thất nghiệp từ đủ 12 tháng trở lên trong thời gian 36 tháng trước khi chấm dứt hợp đồng lao động đối với trường hợp quy định tại điểm c khoản 1 Điều 43 của Luật này;
 
3. Đã nộp hồ sơ hưởng trợ cấp thất nghiệp tại trung tâm dịch vụ việc làm theo quy định tại khoản 1 Điều 46 của Luật này;
 
4. Chưa tìm được việc làm sau 15 ngày, kể từ ngày nộp hồ sơ hưởng bảo hiểm thất nghiệp, trừ các trường hợp sau đây:
 
a) Thực hiện nghĩa vụ quân sự, nghĩa vụ công an;
 
b) Đi học tập có thời hạn từ đủ 12 tháng trở lên;
 
c) Chấp hành quyết định áp dụng biện pháp đưa vào trường giáo dưỡng, cơ sở giáo dục bắt buộc, cơ sở cai nghiện bắt buộc;
 
d) Bị tạm giam; chấp hành hình phạt tù;
 
đ) Ra nước ngoài định cư; đi lao động ở nước ngoài theo hợp đồng;
 
e) Chết.
 
* Về nộp hồ sơ đề nghị hưởng trợ cấp thất nghiệp
 
Tại Khoản 1, Điều 17 Nghị định số 28/2015/NĐ-CP ngày 12/3/2015 của Chính phủ quy định chi tiết một số điều của Luật Việc làm về bảo hiểm thất nghiệp về nộp hồ sơ đề nghị hưởng trợ cấp thất nghiệp quy định: “Trong thời hạn 03 tháng kể từ ngày chấm dứt hợp đồng lao động hoặc hợp đồng làm việc, người lao động chưa có việc làm và có nhu cầu hưởng trợ cấp thất nghiệp phải trực tiếp nộp 01 bộ hồ sơ đề nghị hưởng trợ cấp thất nghiệp theo đúng quy định tại Điều 16 của Nghị định này cho Trung tâm dịch vụ việc làm tại địa phương nơi người lao động muốn nhận trợ cấp thất nghiệp”.
 
BHXH Việt Nam cung cấp quy định về chính sách để bạn nắm được, bạn liên hệ với Tr"
"Nội dung câu hỏi:
Mình sinh bé ngày2.12 đến nay 5.4 mình vẫn không nhận được bh thai sản. Đã liên hệ bh rất nhiều lần k thể nào nào gọi được. Gọi cty thì bảo tự liên hệ. Mình ko biết hồ sơ đã được duyệt chưa, vì sinh con không đi làm mình đã rất khó khăn. Nay cố gắng liên hệ bảo hiểm ko thể nào gặp được ai. Hy vọng bhxh xem xét giúp mình. Mã số bh:5621236550 ( tên Nguyễn Võ Nhật Quyên )","Câu trả lời:
Tại Điều 102 Luật BHXH số 58/2014/QH13 quy định về việc giải quyết hưởng chế độ thai sản như sau:
 
1. Trong thời hạn 45 ngày kể từ ngày trở lại làm việc, người lao động có trách nhiệm nộp hồ sơ quy định tại khoản 1 và khoản 2 Điều 100, các khoản 1, 2, 3 và 4 Điều 101 của Luật này cho người sử dụng lao động.
 
Trường hợp người lao động thôi việc trước thời điểm sinh con, nhận nuôi con nuôi thì nộp hồ sơ quy định tại khoản 1 và khoản 3 Điều 101 của Luật này và xuất trình sổ bảo hiểm xã hội cho cơ quan bảo hiểm xã hội.
 
2. Trong thời hạn 10 ngày kể từ ngày nhận đủ hồ sơ từ người lao động, người sử dụng lao động có trách nhiệm lập hồ sơ quy định tại Điều 100 và Điều 101 của Luật này nộp cho cơ quan bảo hiểm xã hội.
 
3. Trách nhiệm giải quyết của cơ quan bảo hiểm xã hội:
 
a) Trong thời hạn 10 ngày kể từ ngày nhận đủ hồ sơ theo quy định từ người sử dụng lao động, cơ quan bảo hiểm xã hội phải giải quyết và tổ chức chi trả cho người lao động;
 
b) Trong thời hạn 05 ngày làm việc kể từ ngày nhận đủ hồ sơ theo quy định từ người lao động thôi việc trước thời điểm sinh con, nhận nuôi con nuôi, cơ quan bảo hiểm xã hội phải giải quyết và tổ chức chi trả cho người lao động.
 
4. Trường hợp cơ quan bảo hiểm xã hội không giải quyết thì phải trả lời bằng văn bản và nêu rõ lý do.
 
Bảo hiểm xã hội Việt Nam cung cấp thông tin chính sách để bạn được rõ. Đề nghị bạn liên hệ BHXH tại địa phương nơi công ty nộp hồ sơ để được hỗ trợ trực tiếp."
"Nội dung câu hỏi:
Thưa quý cơ quan, Mã số BHXH 7916279521 Mình bị mất sổ bhxh, hiện tại em mới tải app  quá trình đóng bhxh, nhưng em chỉ thấy quá trình đóng BHXH ở Công TY Hiện tại thôi, còn quá trình đóng BHXH ở công ty cũ thì không có. Nhờ Ad kiểm tra lại giúp mình quá trình đóng BHXH. Em cảm ơn.","Câu trả lời:
Hiện nay một số người lao động trên ứng dụng VssID chưa thể hiện đầy đủ quá trình đã đóng BHXH, để khắc phục BHXH Việt Nam đã yêu cầu Thủ trưởng các đơn vị trực thuộc BHXH Việt Nam, Giám đốc BHXH các tỉnh, thành phố trực thuộc Trung ương (gọi tắt là BHXH các tỉnh) nghiêm túc triển khai các nội dung sau:
 
- Khi tiếp nhận các phản ánh của người dân về thông tin trên ứng dụng VssID chưa chính xác, thực hiện kiểm tra ngay thông tin do người dân phản ánh trên các phần mềm nghiệp vụ, phối hợp với đơn vị quản lý người tham gia để xác minh thông tin; điều chỉnh, xử lý ngay đối với các thông tin sai lệch (nếu đã được xác minh chính xác); chậm nhất sau 1 giờ làm việc phải trả lời người dân, trường hợp phức tạp thì phải hẹn thời gian trả lời và chủ động liên hệ lại với người dân. Trường hợp sau khi đối chiếu, xác minh thông tin mà phát hiện có dấu hiệu trục lợi quỹ BHXH, BHYT, bảo hiểm thất nghiệp (BHTN) thì thực hiện (hoặc phối hợp với các đơn vị liên quan thực hiện) thanh tra, kiểm tra theo đúng quy định.
 
- Tổ chức thực hiện rà soát trên các phần mềm được giao theo dõi, quản lý nhằm đảm bảo việc quản lý thông tin người tham gia, giải quyết chế độ BHXH, thanh toán chi phí KCB BHYT được thực hiện theo đúng quy trình do BHXH Việt Nam quy định, tránh việc thiếu quá trình tham gia BHXH, BHYT, BHTN (do chưa chốt sổ và cộng nối thời gian tham gia ở các đơn vị cũ về đơn vị tham gia hiện tại của người lao động), thiếu thông tin thụ hưởng chế độ BHXH, lịch sử KCB BHYT hoặc thông tin chưa chính xác.
 
Qua tra cứu quá trình tham gia bảo hiểm xã hội theo mã số BHXH 7916279521 trên hệ thống phần mềm của Bảo hiểm xã hội Việt Nam thì bạn có quá trình tham gia đóng như sau:
 
- Từ tháng 09/2016 đến tháng 02/2017 làm tại Công Ty TNHH Kim Thành Tín;
 
- Từ tháng 03/2017 đến tháng 8/2017 Không tham gia BHXH
 
- Từ tháng 09/2017 đến nay làm tại Cty TNHH Kiều Hối Đông á;
 
*/ Thủ tục cấp lại sổ BHXH
 
Theo 
Văn bản hợp nhất số 2089/VBHN-BHXH
 ngày 26/06/2020 của BHXH Việt Nam hướng dẫn các trường hợp cấp lại sổ BHXH như sau:
 
“Điều 27. Cấp lại, đổi, điều chỉnh nội dung trên sổ BHXH, thẻ BHYT
 
1.
43
 Cấp lại sổ BHXH do mất, hỏng, gộp sổ BHXH
 
1.1. Thành phần hồ sơ:
 
 Cấp lại sổ BHXH do mất, hỏng: Tờ khai tham gia, điều chỉnh thông tin BHXH, BHYT (Mẫu TK1-TS).
 
Đề nghị bạn liên hệ đến BHXH địa phương để được hỗ trợ"
"Nội dung câu hỏi:
MSBH: 7911379604
Tôi đã đóng bảo hiểm xã hội được 12 năm gần đến tuổi hưu, tôi muốn lãnh bảo hiểm xã hội 1 lần vậy tôi nên nghỉ việc bây giờ hay đợi đến tuổi hưu mới được lãnh 1 lần ạ. Tôi cảm ơn","Câu trả lời:
* Về điều kiện hưởng BHXH một lần
 
Tại Khoản 1, Điều 8 Nghị định số 115/2015/NĐ-CP ngày 11/11/2015 của Chính phủ quy định người lao động mà có yêu cầu thì được hưởng BHXH một lần nếu thuộc một trong các trường hợp sau đây:
 
a) Đủ tuổi hưởng lương hưu theo quy định tại các Khoản 1, 2 và 4 Điều 54 của Luật BHXH mà chưa đủ 20 năm đóng BHXH hoặc theo quy định tại Khoản 3 Điều 54 của Luật BHXH mà chưa đủ 15 năm đóng BHXH và không tiếp tục tham gia BHXH tự nguyện;
 
b) Sau một năm nghỉ việc mà chưa đủ 20 năm đóng BHXH và không tiếp tục đóng BHXH;
 
c) Ra nước ngoài để định cư;
 
d) Người đang bị mắc một trong những bệnh nguy hiểm đến tính mạng như ung thư, bại liệt, xơ gan cổ chướng, phong, lao nặng, nhiễm HIV đã chuyển sang giai đoạn AIDS và những bệnh khác theo quy định của Bộ Y tế.
 
BHXH Việt Nam cung cấp thông tin để bạn nắm được, bạn liên hệ cơ quan BHXH tại địa phương để được hướng dẫn cụ thể."
"Nội dung câu hỏi:
Trước đây chồng tôi có làm việc tại một số công ty nhưng sau đó nghỉ và chưa chốt sổ. Nhờ quý cơ quan tra cứu và hướng dẫn giúp làm thế nào để chốt sổ cũ để chuyển sang tiếp tục đóng BHXH tại công ty mới đang làm hiện tại ạ.
Số sổ 1: 7408102761
Số sổ 2: 7511160203
Họ và tên: Bùi Thái Lộc
CMND: 273141673","Câu trả lời:
Qua kiểm tra, rà soát dữ liệu mã số 7408102761 cho kết quả Bùi Thái Lộc, sinh ngày 06/02/1984, tham gia đóng BHXH từ tháng 05/2008 đến tháng 10/2008 (06 tháng) tại Công ty CP Giấy An Bình, cơ quan BHXH Thành phố Dĩ An chốt dữ liệu.
 
Qua kiểm tra, rà soát dữ liệu mã số 7511160203 cho kết quả Bùi Thái Lộc, sinh ngày 06/02/1984, tham gia đóng BHXH quá trình như sau:
 
- 03 tháng 04,05,06/2011 làm việc tại Công ty TNHH MTV Số Bách Việt, cơ quan BHXH TP Biên Hòa đã cấp tờ bìa sổ, chốt in bảo lưu quá trình đóng.
 
- 04 tháng 07,08,09,10/2011 làm việc tại Công ty CP Thiết Bị Bách Khoa, cơ quan BHXH Quận 11 đã chốt in bảo lưu quá trình đóng.
 
- Từ tháng 12/2011 đến tháng 02/2014 (02 năm 03 tháng) làm việc tại Công ty CP Ngô Hạn, cơ quan BHXH huyện Long Thành đã chốt sổ từ tháng 01/2012 đến 02/2014, chốt thiếu 01 tháng 12/2011.
 
- Từ tháng 05/2014 đến tháng 05/2015 (01 năm 01 tháng) làm việc tại Công ty TNHH TM DV KT Điện Huỳnh Lai, cơ quan BHXH Quận 1 đã chốt in bảo lưu quá trình.
 
Theo kết quả tra cứu thì hiện tại bạn đã được cấp 02 sổ BHXH nên bạn phải làm thủ tục gộp sổ BHXH theo quy định tại Điều 27, Văn bản hợp nhất số 2089/VBHN-BHXH ngày 26/6/2020 của BHXH Việt Nam quy định thực hiện gộp sổ BHXH, Thành phần hồ sơ gộp sổ gồm:
 
- Tờ khai tham gia, điều chỉnh thông tin BHXH, BHYT (Mẫu TK1-TS).
 
- Các sổ BHXH đề nghị gộp (nếu có);
 
Theo Điểm C, khoản 1, Điều 31 Công văn số 2089/VBHN-BHXH ngày 26/6/2020 của BHXH Việt Nam quy định:
 
- c
46
 Các trường hợp cấp lại, gộp sổ, điều chỉnh nội dung đã ghi trên sổ BHXH, thẻ BHYT; cộng nối thời gian nhưng không phải đóng BHXH: kê khai hồ sơ theo quy định tại Điều 27 và nộp hồ sơ như sau:
 
- Người đang làm việc nộp cho đơn vị nơi đang làm việc hoặc nộp cho cơ quan BHXH.
 
- c
47
 Người đang bảo lưu thời gian đóng BHXH hoặc đã được giải quyết hưởng lương hưu, trợ cấp BHXH đề nghị cấp lại, điều chỉnh nội dung trên sổ BHXH: nộp cho cơ quan BHXH trên toàn quốc.
 
Theo khoản 2, Điều 46.
96
, văn bản hợp nhất số 2089/VBHN-BHXH ngày 26/6/2020 của BHXH Việt Nam quy định:
 
Trường hợp một người có từ 2 sổ BHXH trở lên đề nghị gộp sổ BHXH, cán
 
bộ Phòng/Tổ cấp sổ, thẻ thực hiện kiểm tra, đối chiếu nội dung đã ghi trên các sổ BHXH và cơ sở dữ liệu; lập Danh sách đề nghị gộp sổ BHXH (Mẫu C18-TS) chuyển cán bộ Phòng/Tổ quản lý thu thực hiện:
 
+ Trường hợp thời gian đóng BHXH trên các sổ BHXH không trùng nhau:
 
Thực hiện gộp quá trình đóng BHXH của các sổ BHXH trên cơ sở dữ liệu; hủy mã số sổ BHXH đã gộp.
 
+ Trường hợp thời gian đóng BHXH trên các sổ BHXH trùng nhau: lập
 
Quyết định hoàn trả (Mẫu C16-TS) để hoàn trả cho người lao động theo quy định
 
tại Tiết b điểm 3.3 khoản 3 điều 43.
 
    Đối chiếu với các quy định nêu trên, đề nghị bạn liên hệ đơn vị hiện đang làm việc làm thủ tục gộp sổ theo hướng dẫn trên. Nếu có thắc mắc bạn vui lòng gọi đến tổng đài 19009068 để được hỗ trợ, tư vấn trực tiếp"
"Nội dung câu hỏi:
Em sinh ngày 28 tháng 5 năm 2000 căn cước công dân số 026300005809 số BHXH 2620336147 đã sinh con vào ngày 8 tháng 4 năm 2021 sau sinh đã nộp hồ sơ thai sản đầy đủ về BHXH tỉnh Vĩnh Phúc nhưng tới nay vẫn chưa nhận được tiền thai sản. Vậy em muốn hỏi là hồ sơ thai sản của em đã được duyệt hay chưa? Số tiền em nhận đượ là bao nhiêu vào khi nào nhận được! Em mong BHXH sẽ sớm có câu trả lời , em cảm ơn!","Câu trả lời:
Điều 102, Luật Bảo hiểm xã hội 2014 quy định về việc giải quyết việc hưởng chế độ thai sản như sau:
 
“1. Trong thời hạn 45 ngày kể từ ngày trở lại làm việc, người lao động có trách nhiệm nộp hồ sơ quy định tại khoản 1 và khoản 2 Điều 100, các khoản 1, 2, 3 và 4 Điều 101 của Luật này cho người sử dụng lao động.
 
Trường hợp người lao động thôi việc trước thời điểm sinh con, nhận nuôi con nuôi thì nộp hồ sơ quy định tại khoản 1 và khoản 3 Điều 101 của Luật này và xuất trình sổ bảo hiểm xã hội cho cơ quan bảo hiểm xã hội.
 
2. Trong thời hạn 10 ngày kể từ ngày nhận đủ hồ sơ từ người lao động, người sử dụng lao động có trách nhiệm lập hồ sơ quy định tại Điều 100 và Điều 101 của Luật này nộp cho cơ quan bảo hiểm xã hội.
 
3. Trách nhiệm giải quyết của cơ quan bảo hiểm xã hội:
 
a) Trong thời hạn 10 ngày kể từ ngày nhận đủ hồ sơ theo quy định từ người sử dụng lao động, cơ quan bảo hiểm xã hội phải giải quyết và tổ chức chi trả cho người lao động;
 
b) Trong thời hạn 05 ngày làm việc kể từ ngày nhận đủ hồ sơ theo quy định từ người lao động thôi việc trước thời điểm sinh con, nhận nuôi con nuôi, cơ quan bảo hiểm xã hội phải giải quyết và tổ chức chi trả cho người lao động.
 
4. Trường hợp cơ quan bảo hiểm xã hội không giải quyết thì phải trả lời bằng văn bản và nêu rõ lý do.”
 
Về mức hưởng
: Điểm a, khoản 1, điều 39, Luật Bảo hiểm xã hội 2014 quy định mức hưởng chế độ thai sản khi sinh con như sau:
 
“Mức hưởng một tháng bằng 100% mức bình quân tiền lương tháng đóng bảo hiểm xã hội của 06 tháng trước khi nghỉ việc hưởng chế độ thai sản. Trường hợp người lao động đóng bảo hiểm xã hội chưa đủ 06 tháng thì mức hưởng chế độ thai sản theo quy định tại Điều 32, Điều 33, các khoản 2, 4, 5 và 6 Điều 34, Điều 37 của Luật này là mức bình quân tiền lương tháng của các tháng đã đóng bảo hiểm xã hội”
 
          Điểm a, khoản 1, điều 12, Thông tư 59/TT-BLĐTBXH ngày 29/12/2015 hướng dẫn chi tiết điều 39 về mức hưởng chế độ thai sản:
 
“Mức bình quân tiền lương tháng đóng bảo hiểm xã hội làm cơ sở tính hưởng chế độ thai sản là mức bình quân tiền lương tháng đóng bảo hiểm xã hội của 6 tháng liền kề gần nhất trước khi nghỉ việc. Nếu thời gian đóng bảo hiểm xã hội không liên tục thì được cộng dồn.
 
Trường hợp lao động nữ đi làm cho đến thời điểm sinh con mà tháng sinh con hoặc nhận nuôi con nuôi được tính vào thời gian 12 tháng trước khi sinh con hoặc nhận nuôi con nuôi thì mức bình quân tiền lương tháng đóng bảo hiểm xã hội của 6 tháng trước khi nghỉ việc, bao gồm cả tháng sinh con hoặc nhận nuôi con nuôi.”
 
          Điều 38, Luật Bảo hiểm xã hội quy định về chế độ trợ cấp 1 lần khi sinh con cho lao động nữ như sau:
 
“Lao động nữ sinh con hoặc người lao động nhận nuôi con nuôi dưới 06 tháng tuổi thì được trợ cấp một lần cho mỗi con bằng 02 lần mức lương cơ sở tại tháng lao động nữ sinh con hoặc tháng người lao động nhận nuôi con nuôi.”
 
           Như vậy, khi bạn sinh con sẽ được nhận chế độ thai sản với mức hưởng = (lương bình quân 6 tháng liền kề trước khi sinh con x 6) + trợ cấp 1 lần (bằng 2 tháng lương tối thiểu tại thời điểm sinh).
 
          Đề nghị bạn liên hệ với bộ phận trả kết quả của BHXH tỉnh Vĩnh Phúc để được kiểm tra kết quả xét duyệt theo quy định."
