Bộ máy hành chính,105445
Tài chính nhà nước,42216
Văn hóa - Xã hội,39014
Tài nguyên - Môi trường,25490
Thương mại,22388
Xây dựng - Đô thị,21410
Bất động sản,21149
Thể thao - Y tế,19734
Thuế - Phí - Lệ Phí,17592
Giáo dục,16278
Giao thông - Vận tải,14825
Lao động - Tiền lương,14374
Doanh nghiệp,12744
Đầu tư,12718
Công nghệ thông tin,12217
Xuất nhập khẩu,11535
Lĩnh vực khác,8607
Quyền dân sự,5505
Tiền tệ - Ngân hàng,4954
Bảo hiểm,2697
Dịch vụ pháp lý,2619
Thủ tục Tố tụng,2350
Vi phạm hành chính,2225
Kế toán - Kiểm toán,1752
Trách nhiệm hình sự,1515
Sở hữu trí tuệ,965
Chứng khoán,771
